"","davis_family","genus","lat","lon","Geological.period"
"1","Betulaceae","Alnus",30.3,130.5,"Pleistocene"
"2","Betulaceae","Carpinus",30.3,130.5,"Pleistocene"
"3","Fagaceae","Castanopsis",30.3,130.5,"Pleistocene"
"4","Fagaceae","Quercus",30.3,130.5,"Pleistocene"
"5","Ericaceae","Rhododendron",30.3,130.5,"Pleistocene"
"6","Salicaceae","Salix",30.3,130.5,"Pleistocene"
"7","Fagaceae","Quercus",31.5,130.33,"Pleistocene"
"8","Adoxaceae","Viburnum",31.5,130.33,"Pleistocene"
"9","Anacardiaceae","Rhus",31.8,130.45,"Pleistocene"
"10","Ulmaceae","Ulmus",31.8,130.45,"Pleistocene"
"11","Theaceae","Camellia",31.85,130.95,"Pleistocene"
"12","Juglandaceae","Juglans",31.85,130.95,"Pleistocene"
"13","Sapindaceae","Acer",31.9,130.85,"Pleistocene"
"14","Fagaceae","Fagus",31.9,130.85,"Pleistocene"
"15","Symplocaceae","Symplocos",31.9,130.85,"Pleistocene"
"16","Aquifoliaceae","Ilex",31.93,130.85,"Pleistocene"
"17","Betulaceae","Betula",31.95,130.82,"Pleistocene"
"18","Betulaceae","Corylus",31.95,130.83,"Pleistocene"
"19","Myricaceae","Myrica",32.58,130.5,"Pleistocene"
"20","Fagaceae","Fagus",33.55,133.5583333,"Holocene"
"21","Fagaceae","Quercus",33.55,133.5583333,"Holocene"
"22","Fagaceae","Cyclobalanopsis",33.55,133.5583333,"Holocene"
"23","Fagaceae","Castanopsis",33.55,133.5583333,"Holocene"
"24","Fagaceae","Castanea",33.55,133.5583333,"Holocene"
"25","Proteaceae","Helicia",33.55,133.5583333,"Holocene"
"26","Betulaceae","Alnus",33.55,133.5583333,"Holocene"
"27","Apocynaceae","Anodendron",33.55,133.5583333,"Holocene"
"28","Betulaceae","Betula",33.55,133.5583333,"Holocene"
"29","Betulaceae","Carpinus",33.55,133.5583333,"Holocene"
"30","Ulmaceae","Ulmus",33.55,133.5583333,"Holocene"
"31","Ulmaceae","Zelkova",33.55,133.5583333,"Holocene"
"32","Cannabaceae","Celtis",33.55,133.5583333,"Holocene"
"33","Oleaceae","Fraxinus",33.55,133.5583333,"Holocene"
"34","Euphorbiaceae","Mallotus",33.55,133.5583333,"Holocene"
"35","Myricaceae","Myrica",33.55,133.5583333,"Holocene"
"36","Symplocaceae","Symplocos",33.55,133.5583333,"Holocene"
"37","Betulaceae","Corylus",33.55,133.5583333,"Holocene"
"38","Aquifoliaceae","Ilex",33.55,133.5583333,"Holocene"
"39","Compositae","Artemisia",33.55,133.5583333,"Holocene"
"40","Juglandaceae","Pterocarya",33.55,133.5583333,"Holocene"
"41","Malvaceae","Tilia",33.55,133.5583333,"Holocene"
"42","Sapindaceae","Acer",33.55,133.5583333,"Holocene"
